crop_name,path,vehicle_type
1475012774.079204_crop03.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012774.079204_crop03.jpg,truck
1475012774.212542_crop03.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012774.212542_crop03.jpg,truck
1475012774.345883_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012774.345883_crop02.jpg,truck
1475012774.479224_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012774.479224_crop02.jpg,truck
1475012774.612562_crop03.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012774.612562_crop03.jpg,truck
1475012774.612562_crop04.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012774.612562_crop04.jpg,truck
1475012774.745902_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012774.745902_crop02.jpg,truck
1475012774.879242_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012774.879242_crop02.jpg,truck
1475012775.945964_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012775.945964_crop02.jpg,truck
1475012776.079304_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012776.079304_crop02.jpg,truck
1475012776.212642_crop00.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012776.212642_crop00.jpg,truck
1475012776.345984_crop00.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012776.345984_crop00.jpg,truck
1475012868.417253_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012868.417253_crop02.jpg,truck
1475012868.550593_crop01.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012868.550593_crop01.jpg,truck
1475012868.950613_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012868.950613_crop02.jpg,truck
1475012869.083953_crop01.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012869.083953_crop01.jpg,truck
1475012869.217293_crop01.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012869.217293_crop01.jpg,truck
1475012869.483974_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012869.483974_crop02.jpg,truck
1475012869.617315_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012869.617315_crop02.jpg,truck
1475012869.750653_crop04.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012869.750653_crop04.jpg,truck
1475012917.019683_crop13.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012917.019683_crop13.jpg,truck
1475012917.153023_crop06.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012917.153023_crop06.jpg,truck
1475012917.153023_crop12.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012917.153023_crop12.jpg,truck
1475012917.286363_crop02.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475012917.286363_crop02.jpg,truck
1475013019.691483_crop07.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475013019.691483_crop07.jpg,truck
1475013019.758153_crop07.jpg,C:\Users\Erik\Desktop\Uni\HLCV\Project\data\highway\filtered\truck\1475013019.758153_crop07.jpg,truck
